,0
1357,My like went to the video at 59:33
1358,Really unfortunate that he's a scammer.
1359,Can you make a video on why entrepreneur got arrested in India 1:08:52.
1360,"how can this logical no nonsense person become a fraudster, difficult to decipher people, i think in india we should stop hyping every person beyond a point, the hero worshiping culture should go, i remember the same happened to the oyo founder ritesh and also to the housing founder rahul yadav"
1361,
1362,M yahan ashneer sir ko search krke aaya hoon ki mjhe esa kuch sunna h. I m big of him and his honesty and clearity
1363,57:28 Ashneer roasted Namita's doglapan here 
1364,If the interviewer was less stoned he could ask more interesting questions.
1365,"1:15:48 i could hear paritosh laugh.
lmao"
1366,Please add English subtitles 
1367,Ashneer sir is so clear
1368,18:20 Dard nikal hi gaya NAYKA k liye
1369,Ashneer 
1370,He is like Kevin O'Leary ..
1371,Fucking legend
1372,"Business ki language English hai 
Dhandhe ki language hindi hai 
 
                                      -Ashneer grover"
1373,Awesome
1374,"If you can't be the problem, you have to solve the problem"
1375,"Yeah sure, i agree he is good businessman but a bad example and entrepreneur. Just check out the recent video on deshbhakt channel"
1376,Jab aaj k bache fav actor ki jgah fav businessman bolay...fav movie ki jgah fav business story bolay...tb india kai ameer hone kai steps shuru ho jyga
1377,broo subtitles add please.
1378,The interviewer should not just keep repeating what Ashneer said. Instead have an interesting take or go to next question.
1379,Because of ashneer I'm watching
1380,Its better not to follow anyone. Do what you feel. MRP is the best thing. India is the best. Money is not indicator of stature or happiness.
1381,Bohot shi ek dam correct!!
1382,Shark tank made entrepreneurs to celebrities overnight
1383,Mu favourite entrepreneur
1384,Best 1.3 hours
1385,I saw pay tm add before playing video 
1386,"Whether you believe or not , you saw shark tank  and the reason was ashneer's - Tera sabkuch sahi hai lekin tu yeh bata Paisa kaise banayega aur dhandha chala payega ya nahi ,. I ️ him."
1387,Nice Conversation
1388,Plz do a podcast with aman Gupta
1389,"dhadhe ki bhasaha hindi hai; superb guy.Straight way Very Short, Loud and Clear."
1390,3:55 5:32 7:33 8:12 9:44 16:38 18:25 19:03 19:42 25:27 27:45 30:42 31:28 32:18 36:25 38:54 39:57 41:38 43:41 43:49 44:33 48:25 49:54 54:15 55:53 56:10 57:47 58:39 1:05:08 1:09:35 1:10:50 1:14:20 1:20:03
1391,He is very straight forward yrr....
1392,Keep the volume on both mics the same.  Shamani's mic has too much Bass bro
1393,️️️️
1394,"YOU HAVE TO SOLVE A PROBLEM, YOU CAN'T BE THE PROBLEM.
                                                                                                                  ------ ASHNEER GROVER."
1395,ICE engines will be there for next 30 years also
1396,plzz add subtitles
1397,"Ashneer: ""yeh reversible kapde bilkul bakwaas hai""

Asheer ki biwi: ""ab se main roz yahi pehnungi"""
1398,Youngsters should watch this...not big bosss
1399,1:07:09 that's why he is an IITian and IIM pass out.
1400,
1401,
1402,Indirectly pointing at emicure CEO
1403,Ashneer is really genuine... Raj is absolutely pretentious and annoying... Good he didn't interrupt
1404,You required much maturity to get that Ashneer is real shark
1405,Ashneer bhaiya ki greatness to 28 Feb k bad dekhne ko mili 
1406,He is good in english but he respect hindi language....
1407,Really mza aaya bahut cheeje sikhne ko mili !!
1408,Wht a man!!
1409,Making profitable business by ashneer grover bruh he owns a loss making company
1410,Great
1411,Great
1412,"Why my mind is waiting for, 'Yeh sab tu bandh kr de, barbad ho jayega!'"
1413,"that ""aap ya tu"" is something that I also feel missing from English."
1414,2:44 look at ashneer face >
1415,Lekin there r people who hate these bussiinessman and entrepreneur by saying desh beech diya etc. Kyuki for them socalled sarkari naukri is every thing.
1416,Ashneer
1417,
1418,"Bhaii, kitni baar dil jetega ye Ashneer"
1419,He is the best
1420,really good
1421,Great! Is anyone here to tell me about Ticket size in E-commerce?
1422,"Drinking alcohol, smoking hukka is not sentence of being cool 
It's not cool at all"
1423,I don't get it why he acts so rude & badly on shark tank ! & I don't know why people praise such behaviour. Not cool
1424,Invite Piyush Bansal too for podcast
1425,I want to invest in Ashneer's companies...where i contacts
1426,He is my favourite dhandhaman
1427,Ashneer is a king of jungle I really like his brutal honesty otherwise log to bhot hai chutiya bnane wale.
1428,"Respect the man, every time but still he is arrogant! Straigthforward aur arrogant alag hota hai, ye sir dono hai"
1429,Bahut badiya simple samjhate hai ashneer ji 
1430,Who came here after watching shark tank
1431,"the only thing which i find common is that "" we do not read any books"""
1432,Who is here after watching ashish chanchalani Santa shark tank
1433,"U can Hate Me,U can Love Me,U can't ignore me."
1434, Ashneer
1435,
1436,Ashneerrrrr
1437,"Alcohol has ruined life of many people, many families it should get banned 
Nasha aapko pita hai aap nashe ko nahi, nashe me insaan kuch bhi kar sakte hai they are harmful for everyone."
1438,Yes yesssssss
1439,He my fevorate shark
1440,funny when cash burn loss makers talk about profitable businesses..
1441,fully watched
1442,"Very confused, is the interviewer trying to hit on this tainted guy? 
Is he trying to woo him, in some way."
1443,I wanted to press like button multiple times..
1444,"How do I up skill myself to learn about EBITA, and those financial terms like 5% equity and stake used in like big sharks India. I am a software engg with 20 yrs exp in programming so I am not aware. I want to become sharp on business stuff?"
1445,"Actually he knows ,,,,, but he know very well k logo ko free ki advice ki qadar nahi hoti,,,,,,,,,"
1446,Success k liye padhaku hone se success zyada Asani se Milti h
1447,It's a million dollars podcast
1448,Great talk but thumbnail is little Blur.
1449,"Excuse me Raj, this interview is about Ashneer not about you."
1450,Ashneer se mein khud ko kafii jyada  relate kar pata hu. Best shark according to me.
1451,It should have been beerbiceps instead of raj
1452,"Fundamentals to clear for entrepreneurs
Market bada pakdo
Unique kaam karo
Paisa kaise aayega"
1453,"Nonsense podcast I have ever watche,
Raj want to know should we drink or not "
1454,MBA KA COURSE   SIRF  1:23:34  MEIN.
1455,Do anyone know which hoodie is raj wearing??
1456,he does not read books. but he reads market... so he is trying to tell learning is much important for success.
1457,12% per day/month/year ?
1458,Panju  like a gujju
1459,Raw
1460,Zabardast Aadmi hay ye banda
1461,
1462,Dmart is becoming Wallmart of india
1463,Deep thought
1464,His net worth is nothing he has earn money only on the basis of his experience
1465,Why no one talks about manufacturing
1466,Berozgar shamani finally got millions of views through this interview. Else he was running paid ads on instagram
1467,subtitle eng; please
1468,"Sahi kaha aapne .... Indian customer sab se spoiled customer hain...sab se sasta b chahiye aur  discount b...aur b Chinese products ko gali detein hain...,,,"
1469,Kya Banda hai yr ye matlab 
1470,Jabra fan ho gaya 
1471,My fav Shark
1472,"Nice conversation.
Ache sawal puche show me."
1473,Life mein itni clarity honi chaiye bas hum kuch b  kar sakteye hain
1474,Iske channel pe 100k view bhi ni aata tha ab dekho 1.6 mil changing times for India probably people entrepreneur k taraf ja rhe h actor ko chor k 
1475,29:00 four words
1476,I think you can improve on time stamps.
1477,"Sometimes, this host is very irritating. He keeps on putting the same phrase again and again in different English sentence to showcase his proficiency."
1478,Damn this episode
1479,I listened twice
1480,"what is ticket size
anyone knows"
1481,Thank you Ashneer sir to give us  your valuable time.  Big fan Rahul Sultan.
1482,"Questions could have been much better, Sometimes I petty Raj Khemani. May be many times...."
1483,47:45 was that IND MONEY
1484,Wow man
1485,Middle of watching this downloaded PostPe
1486,Where can i buy those hoodies
1487,Paytm started 5years ago postpaid
1488,POV popular from Ashneer
1489,Power of observations
1490,My favourite shark asneer grover
1491,"@Rajsamani bro ""Brand kise banaya jata  hai eska video baniye""."
